title,company,location,url,posted_date,portal,source,work_mode,skills,fit_signal,status
Associate- AI Data Engineer(Retail),Bain & Company,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/associate-ai-data-engineer-retail-at-bain-company-4462117810,2026-09-02,linkedin-search,cli,,[],medium,needs_review
Junior Data Engineer,QBrainX,"Coimbatore South, India",https://qbrainx.zohorecruit.com/jobs/Careers/625705000010258028?utm_source=freehire.me,2026-09-02,freehire-search,cli,,"['aws', 'azure', 'cloud', 'data-engineering', 'data-pipelines', 'data-warehousing', 'distributed-computing', 'etl', 'gcp', 'hadoop', 'mysql', 'postgresql', 'process-improvement', 'python', 'snowflake', 'spark', 'sql']",medium,needs_review
Junior ML Engineer (Computer Vision),Maximl,"Bangalore North, India",https://maximl.zohorecruit.in/jobs/Careers/65263000006394057?utm_source=freehire.me,2026-09-02,freehire-search,cli,,"['aws', 'azure', 'ci-cd', 'cloud', 'computer-vision', 'data-quality', 'deep-learning', 'gcp', 'machine-learning', 'mlops', 'pytorch', 'tensorflow', 'tensorrt', 'test-automation', 'triton', 'yolo']",medium,needs_review
Junior Engineer AIS Integration Support - Associate Consultant - MFT - KGS CH,KPMG Ukraine,"Bangalore, Karnataka, India",https://ejgk.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/30040619?utm_source=freehire.me,2026-09-02,freehire-search,cli,,"['api', 'azure', 'cloud', 'event-driven-architecture', 'itil']",medium,needs_review
Junior Engineer AIS Integration Support - Associate Consultant - MFT - KGS CH,KPMG Global Services,"Bangalore, Karnataka, India",https://ejgk.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_3/job/30040619?utm_source=freehire.me,2026-09-02,freehire-search,cli,,"['api', 'azure', 'cloud', 'event-driven-architecture', 'itil']",medium,needs_review
Junior AI & Data Engineer,Omni Reach,,https://omni-reach.zohorecruit.in/jobs/Careers/41152000009960901?utm_source=freehire.me,2026-09-02,freehire-search,cli,remote,"['agile', 'ai', 'api', 'aws', 'azure', 'cloud', 'data-engineering', 'data-pipelines', 'data-science', 'etl', 'feature-engineering', 'gcp', 'jupyter', 'machine-learning', 'mlops', 'numpy', 'pandas', 'python', 'rest', 'scikit-learn', 'sql', 'statistics']",medium,needs_review
Strong junior Data analyst у сферу AI,Artellence,UA,https://djinni.co/jobs/846300-strong-junior-data-analyst-u-sferu-ai/?utm_source=freehire.me,2026-09-02,freehire-search,cli,remote,"['data-science', 'llm', 'machine-learning', 'python']",medium,needs_review
Associate AI Engineer,alliantgroup,"Mumbai, India",https://alliantgroup.zohorecruit.in/jobs/Careers/127468000002046001?utm_source=freehire.me,2026-09-02,freehire-search,cli,,"['agentic-ai', 'agile', 'ai', 'airflow', 'api', 'aws', 'azure', 'cloud', 'computer-vision', 'data-pipelines', 'data-science', 'gcp', 'generative-ai', 'javascript', 'llm', 'machine-learning', 'nlp', 'prompt-engineering', 'python', 'pytorch', 'rag', 'scikit-learn', 'sql', 'tensorflow', 'typescript']",medium,needs_review
Associate Distinguished Engineer (Solution Architect - GenAI + RAG + Agentic AI),Nagarro,"Remote, in",https://jobs.smartrecruiters.com/Nagarro1/744000147021084-associate-distinguished-engineer-solution-architect-genai-rag-agentic-ai-?utm_source=freehire.me,2026-09-02,freehire-search,cli,remote,"['agentic-ai', 'ai', 'api', 'automation', 'aws', 'azure', 'cloud', 'data-pipelines', 'gcp', 'generative-ai', 'llm', 'machine-learning', 'mlops', 'openai', 'pre-sales', 'prompt-engineering', 'proof-of-concept', 'rag', 'servicenow', 'solution-design', 'stakeholder-management', 'technical-discovery']",medium,needs_review
AWS Gen AI Engineer - Senior Associate,pwc,Bangalore,https://pwc.wd3.myworkdayjobs.com/CRM_Experienced_Careers_Site/job/Bangalore/AWS-Gen-AI-Engineer---Senior-Associate_758118WD?utm_source=freehire.me,2026-09-02,freehire-search,cli,,"['ab-testing', 'agentic-ai', 'ai', 'analytics', 'aws', 'aws-bedrock', 'ci-cd', 'confluence', 'cpp', 'data-engineering', 'data-ingestion', 'fine-tuning', 'generative-ai', 'java', 'javascript', 'langchain', 'llamaindex', 'machine-learning', 'microservices', 'model-evaluation', 'onedrive', 'prompt-engineering', 'python', 'rag', 'sagemaker', 'sharepoint', 'tdd']",medium,needs_review
"Associate Director, Software Engineering, GenAI & Agentic AI",Merck,IND - Telangana - Hyderabad (Hitec City Raidurg),https://msd.wd5.myworkdayjobs.com/SearchJobs/job/IND---Telangana---Hyderabad-Hitec-City-Raidurg/Associate-Director--Software-Engineering--GenAI---Agentic-AI_R414802-2?utm_source=freehire.me,2026-09-02,freehire-search,cli,hybrid,"['agentic-ai', 'agile', 'ai', 'analytics', 'assembly', 'automation', 'ci-cd', 'cloud', 'cloud-native', 'data-engineering', 'data-visualization', 'devops', 'embeddings', 'generative-ai', 'llm', 'llmops', 'machine-learning', 'microsoft-copilot', 'mlops', 'observability', 'rag', 'sap', 'sdlc', 'servicenow', 'vector-search']",medium,needs_review
Data Engineer 1,Illumina,Greater Bengaluru Area,https://in.linkedin.com/jobs/view/data-engineer-1-at-illumina-4461593895,2026-09-01,linkedin-search,cli,,[],medium,needs_review
Associate AI & LLM Systems Engineer,Electro Global,"Jaipur, Rajasthan, India",https://in.linkedin.com/jobs/view/associate-ai-llm-systems-engineer-at-electro-global-4461729056,2026-09-01,linkedin-search,cli,,[],medium,needs_review
Associate AI/ML Engineer,Solventum,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/associate-ai-ml-engineer-at-solventum-4462044724,2026-09-01,linkedin-search,cli,,[],medium,needs_review
Junior AI Engineer,PwC Lviv SDC,UA,https://djinni.co/jobs/845957-junior-ai-engineer/?utm_source=freehire.me,2026-09-01,freehire-search,cli,remote,"['ai', 'ai-enablement', 'analytics', 'api', 'automation', 'azure', 'azure-devops', 'ci-cd', 'cloud', 'crewai', 'data-analytics', 'devops', 'docker', 'embeddings', 'event-driven-architecture', 'fastapi', 'flask', 'generative-ai', 'git', 'github', 'github-actions', 'json', 'kubernetes', 'langchain', 'langgraph', 'llm', 'oop', 'pandas', 'prompt-engineering', 'python', 'qdrant', 'rag', 'rest', 'secure-coding', 'semantic-kernel', 'sql', 'vector-databases', 'vector-search', 'version-control']",medium,needs_review
Data Engineer I IS - Remote,Providence,"Napa, CA, United States",https://evac.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/456122?utm_source=freehire.me,2026-09-01,freehire-search,cli,remote,"['ai', 'analytics', 'api', 'automation', 'bash', 'ci-cd', 'cloud', 'data-ingestion', 'data-pipelines', 'data-quality', 'data-science', 'data-warehousing', 'dimensional-modeling', 'elt', 'etl', 'fivetran', 'git', 'hipaa', 'json', 'linux', 'observability', 'parquet', 'powershell', 'python', 'rbac', 'rdbms', 'secrets-management', 'servicenow', 'snowflake', 'snowpark', 'sql', 'streamlit']",medium,needs_review
Associate AI/ML Engineer,healthcare,"IN, Bangalore Kar",https://healthcare.wd1.myworkdayjobs.com/Search/job/IN-Bangalore-Kar/Associate-AI-ML-Engineer_R01133394?utm_source=freehire.me,2026-09-01,freehire-search,cli,,"['agentic-ai', 'ai', 'analytics', 'anomaly-detection', 'api', 'automation', 'aws', 'azure', 'ci-cd', 'cloud', 'cloud-native', 'cloudwatch', 'containerization', 'crewai', 'data-engineering', 'data-ingestion', 'data-pipelines', 'data-science', 'databricks', 'design-patterns', 'docker', 'feature-engineering', 'generative-ai', 'grafana', 'kubernetes', 'llm', 'llmops', 'machine-learning', 'microservices', 'mlflow', 'mlops', 'model-evaluation', 'observability', 'opentelemetry', 'predictive-analytics', 'predictive-modeling', 'prometheus', 'prompt-engineering', 'python', 'rag', 'sql', 'vector-databases']",medium,needs_review
IN_Senior Associate_ AI Engineer_GCC_Advisory_Bangalore,pwc,Bengaluru Millenia,https://pwc.wd3.myworkdayjobs.com/NonPublic_Postings/job/Bengaluru-Millenia/IN-Senior-Associate--AI-Engineer-GCC-Advisory-Bangalore_758184WD?utm_source=freehire.me,2026-09-01,freehire-search,cli,,"['agentic-ai', 'agile', 'ai', 'analytics', 'api', 'autogen', 'automation', 'aws', 'aws-bedrock', 'azure', 'ci-cd', 'cloud', 'cloud-native', 'cpp', 'generative-ai', 'langchain', 'langgraph', 'llm', 'machine-learning', 'microservices', 'openai', 'performance-management', 'process-improvement', 'prompt-engineering', 'python', 'rag', 'version-control']",medium,needs_review
Associate Program Architect (Full-Stack Developer — AI-Native Engineering),Salesforce,India - Bangalore,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Associate-Program-Architect--Full-Stack-Developer---AI-Native-Engineering-_JR358410?utm_source=freehire.me,2026-09-01,freehire-search,cli,,"['agentic-ai', 'agile', 'ai', 'angular', 'apex', 'api', 'authentication', 'candidate-experience', 'ci-cd', 'claude-code', 'cloud', 'crm', 'devops', 'distributed-systems', 'git', 'javascript', 'jenkins', 'jwt', 'llm', 'mcp', 'nodejs', 'oauth', 'pre-sales', 'prototyping', 'react', 'rest', 'saas', 'salesforce', 'typescript', 'version-control']",medium,needs_review
"Data Engineering Lead / Senior Associate Director, Data and Analytics",Hsbc Group,"Hyderabad, Telangana, India",https://aijobs.net/job/data-engineering-lead-senior-associate-director-data-and-analytics-hyderabad-telangana-india-313291/?utm_source=freehire.me,2026-09-01,freehire-search,cli,remote,"['ai', 'airflow', 'bigquery', 'ci-cd', 'ci/cd', 'cloud platform', 'cloud sql', 'cloud storage', 'dataflow', 'devops', 'generative ai', 'git', 'google cloud', 'google cloud platform', 'google cloud storage', 'hadoop', 'jenkins', 'kafka', 'machine learning', 'nifi', 'pubsub', 'python', 'rdbms', 'vertex ai']",medium,needs_review
Graduate Engineer Trainee- Design,myhr,"Bengaluru, Attibele, India",https://myhr.wd3.myworkdayjobs.com/PlanseeGroup_Career/job/Bengaluru-Attibele-India/Graduate-Engineer-Trainee--Design_JR-12673?utm_source=freehire.me,2026-09-01,freehire-search,cli,,"['assembly', 'autocad', 'cad', 'cnc', 'sap']",medium,needs_review
